Object,IS,MIS,DS,FID,AMS
cow,1.8 ± 0.05,5.02 ± 1.28,0.3 ± 0.0,2177.08 ± 65826.4,3.36 ± 0.91
person,1.27 ± 0.03,3.64 ± 0.4,0.35 ± 0.0,1902.63 ± 31151.85,4.15 ± 0.52
cat,1.74 ± 0.02,3.82 ± 0.24,0.38 ± 0.0,1757.38 ± 9843.64,3.34 ± 0.25
dog,1.78 ± 0.02,3.62 ± 0.18,0.35 ± 0.0,1866.41 ± 20990.54,3.69 ± 0.28
horse,1.7 ± 0.04,4.04 ± 0.57,0.33 ± 0.0,1958.29 ± 17603.55,4.78 ± 0.94
sheep,1.53 ± 0.02,4.49 ± 0.58,0.3 ± 0.0,1969.64 ± 57702.48,6.27 ± 0.37
bird,1.56 ± 0.04,3.91 ± 0.6,0.37 ± 0.0,1880.74 ± 27690.52,3.52 ± 0.16
aeroplane,1.39 ± 0.05,4.53 ± 1.23,0.34 ± 0.0,1967.07 ± 28365.76,4.73 ± 0.38
motorbike,1.52 ± 0.02,3.79 ± 0.16,0.35 ± 0.0,1891.95 ± 2969.01,2.25 ± 0.13
bicycle,1.46 ± 0.01,3.54 ± 0.17,0.34 ± 0.0,1916.24 ± 11463.39,4.13 ± 0.12
mean,1.57,4.04,0.34,1928.74,4.02
