Object,DS,IS,MIS,FID,AMS
cow,0.14 ± 0.0,1.59 ± 0.06,6.83 ± 20.01,512.29 ± 4318.44,8.46 ± 0.42
person,0.16 ± 0.0,1.96 ± 0.04,3.94 ± 1.45,480.34 ± 680.75,6.44 ± 0.09
cat,0.16 ± 0.0,1.48 ± 0.04,4.45 ± 1.78,442.01 ± 558.29,8.46 ± 0.08
dog,0.18 ± 0.0,1.48 ± 0.02,4.01 ± 0.7,435.57 ± 546.11,7.53 ± 0.09
horse,0.15 ± 0.01,1.89 ± 0.03,3.37 ± 0.42,434.36 ± 1110.66,7.49 ± 0.12
sheep,0.16 ± 0.0,1.9 ± 0.05,4.03 ± 1.46,477.05 ± 2396.26,9.21 ± 0.23
bird,0.16 ± 0.0,1.27 ± 0.04,3.17 ± 0.43,386.21 ± 774.59,7.08 ± 0.07
aeroplane,0.19 ± 0.0,1.66 ± 0.04,5.19 ± 2.62,426.68 ± 342.47,9.63 ± 0.15
motorbike,0.15 ± 0.0,1.63 ± 0.04,3.68 ± 1.67,436.12 ± 479.57,8.86 ± 0.06
bicycle,0.17 ± 0.0,1.45 ± 0.05,3.78 ± 1.5,411.57 ± 673.13,8.21 ± 0.21
mean,0.16,1.63,4.24,444.22,8.14
